"id","video_id","size","quality"
13809,5598,6266565,"1920x1080"
13811,5599,8075684,"1920x1080"
13810,5600,30084329,"1920x1080"
13812,5601,4033027,"1920x1080"
13813,5602,4033027,"1920x1080"
13816,5603,6887018,"1920x1080"
13814,5604,15182827,"1920x1080"
13817,5606,3341723,"1920x1080"
13818,5607,6438362,"1920x1080"
13819,5608,4032973,"1920x1080"
13820,5609,8075684,"1920x1080"
13821,5610,9653530,"1920x1080"
13830,5614,3957479,"1920x1080"
13831,5615,8102197,"1920x1080"
